Close Last Trade Day,Price,Units,Implied Values,Date,url
"NYMEX-WTI: May, 2019",59.3,USD/BBL,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"NYMEX-WTI: June, 2019",59.48,USD/BBL,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"NYMEX-WTI: July, 2019",59.63,USD/BBL,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"NYMEX-WTI: August, 2019",59.76,USD/BBL,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
NYMEX-WTI Year Ago Current Month Contract,64.38,USD/BBL,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"Net Energy Sweet Closing Price: May, 2019",-4.7,USD/BBL,54.6,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"Net Energy SSP Closing Price: May, 2019",-2.25,USD/BBL,57.05,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"Net Energy WCS Closing Price: May, 2019",-9.3,USD/BBL,50.0,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"Net Energy/NYMEX WCC Closing Price: May, 2019",-9.3,USD/BBL,50.0,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
Canadian Crude Index,48.84,USD/BBL,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
West Texas Intermediate Cash,59.24,USD/BBL,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
North Sea Brent Blend,67.82,USD/BBL,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
OPEC Basket Price,66.38,USD/BBL,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"NYMEX Natural Gas: May, 2019",2.71,USD/MMBTU,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"NYMEX Natural Gas: June, 2019",2.76,USD/MMBTU,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"NYMEX Natural Gas: July, 2019",2.82,USD/MMBTU,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"NYMEX Natural Gas: August, 2019",2.84,USD/MMBTU,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
Spectra - Station 2,0.7,CAD/GJ,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
AECO/NGX Spot Price - Settlement,1.92,CAD/GJ,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
AECO/NGX Spot Price - Same Day Volume,974.2,TJ,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"AECO/NGX Near-Month: May, 2019",1.34,CAD/GJ,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"WTI May, 2019 Contract",60.12,USD/BBL,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
Near-Month Gas Contract,2.82,USD/MMBTU,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
Daily Average US Exchange Rate,1.34,,,2019-03-29,https://www.dailyoilbulletin.com/report/2019/3/29/selected-oil-and-gas-prices/
"NYMEX-WTI: May, 2019",59.41,USD/BBL,,2019-03-28,https://www.dailyoilbulletin.com/report/2019/3/28/selected-oil-and-gas-prices/
"NYMEX-WTI: June, 2019",59.61,USD/BBL,,2019-03-28,https://www.dailyoilbulletin.com/report/2019/3/28/selected-oil-and-gas-prices/
