Month,Open,High,Low,Last,Change,Settle,Estimated Volume,Prior Day Open Interest,Trade Date,Settlement
MAR_19,,,,,-0.45,56.26,250.0,14346.0,2019-03-08,Final
APR_19,,,,,-0.6,56.56,850.0,9845.0,2019-03-08,Final
MAY_19,,,,,-0.62,57.01,0.0,7286.0,2019-03-08,Final
JUN_19,,,,,-0.64,57.43,0.0,7326.0,2019-03-08,Final
JUL_19,,,,,-0.67,57.76,50.0,7464.0,2019-03-08,Final
AUG_19,,,,,-0.67,58.0,0.0,7506.0,2019-03-08,Final
SEP_19,,,,,-0.67,58.13,0.0,7202.0,2019-03-08,Final
OCT_19,,,,,-0.66,58.2,0.0,7112.0,2019-03-08,Final
NOV_19,,,,,-0.65,58.21,0.0,7221.0,2019-03-08,Final
DEC_19,,,,,-0.61,58.18,0.0,7665.0,2019-03-08,Final
JAN_20,,,,,-0.58,58.12,25.0,4564.0,2019-03-08,Final
FEB_20,,,,,-0.55,58.04,25.0,4106.0,2019-03-08,Final
MAR_20,,,,,-0.52,57.93,25.0,4106.0,2019-03-08,Final
APR_20,,,,,-0.5,57.79,25.0,4050.0,2019-03-08,Final
MAY_20,,,,,-0.51,57.63,25.0,4057.0,2019-03-08,Final
JUN_20,,,,,-0.48,57.49,25.0,4006.0,2019-03-08,Final
JUL_20,,,,,-0.48,57.32,25.0,4051.0,2019-03-08,Final
AUG_20,,,,,-0.48,57.17,25.0,4049.0,2019-03-08,Final
SEP_20,,,,,-0.46,57.05,25.0,4044.0,2019-03-08,Final
OCT_20,,,,,-0.45,56.93,25.0,4463.0,2019-03-08,Final
NOV_20,,,,,-0.44,56.81,25.0,4439.0,2019-03-08,Final
DEC_20,,,,,-0.44,56.61,25.0,4509.0,2019-03-08,Final
JAN_21,,,,,-0.43,56.43,0.0,916.0,2019-03-08,Final
FEB_21,,,,,-0.43,56.3,0.0,915.0,2019-03-08,Final
MAR_21,,,,,-0.41,56.15,0.0,914.0,2019-03-08,Final
APR_21,,,,,-0.41,56.01,0.0,689.0,2019-03-08,Final
MAY_21,,,,,-0.41,55.9,0.0,689.0,2019-03-08,Final
JUN_21,,,,,-0.41,55.75,0.0,678.0,2019-03-08,Final
JUL_21,,,,,-0.4,55.62,0.0,736.0,2019-03-08,Final
AUG_21,,,,,-0.39,55.52,0.0,736.0,2019-03-08,Final
SEP_21,,,,,-0.39,55.43,0.0,753.0,2019-03-08,Final
OCT_21,,,,,-0.38,55.35,0.0,827.0,2019-03-08,Final
NOV_21,,,,,-0.38,55.25,0.0,826.0,2019-03-08,Final
DEC_21,,,,,-0.38,55.09,0.0,826.0,2019-03-08,Final
JAN_22,,,,,-0.38,54.96,0.0,128.0,2019-03-08,Final
FEB_22,,,,,-0.37,54.86,0.0,131.0,2019-03-08,Final
MAR_22,,,,,-0.36,54.74,0.0,128.0,2019-03-08,Final
APR_22,,,,,-0.35,54.65,0.0,129.0,2019-03-08,Final
MAY_22,,,,,-0.35,54.58,0.0,127.0,2019-03-08,Final
JUN_22,,,,,-0.34,54.49,0.0,112.0,2019-03-08,Final
JUL_22,,,,,-0.34,54.42,0.0,111.0,2019-03-08,Final
AUG_22,,,,,-0.33,54.36,0.0,111.0,2019-03-08,Final
SEP_22,,,,,-0.32,54.31,0.0,112.0,2019-03-08,Final
OCT_22,,,,,-0.33,54.26,0.0,111.0,2019-03-08,Final
NOV_22,,,,,-0.32,54.22,0.0,112.0,2019-03-08,Final
DEC_22,,,,,-0.32,54.15,0.0,111.0,2019-03-08,Final
JAN_23,,,,,-0.3,54.11,0.0,83.0,2019-03-08,Final
FEB_23,,,,,-0.3,54.07,0.0,83.0,2019-03-08,Final
MAR_23,,,,,-0.29,54.03,0.0,83.0,2019-03-08,Final
APR_23,,,,,-0.29,54.01,0.0,83.0,2019-03-08,Final
MAY_23,,,,,-0.29,53.99,0.0,83.0,2019-03-08,Final
JUN_23,,,,,-0.29,53.97,0.0,83.0,2019-03-08,Final
JUL_23,,,,,-0.29,53.96,0.0,83.0,2019-03-08,Final
AUG_23,,,,,-0.28,53.97,0.0,83.0,2019-03-08,Final
SEP_23,,,,,-0.28,53.98,0.0,83.0,2019-03-08,Final
OCT_23,,,,,-0.3,53.98,0.0,83.0,2019-03-08,Final
NOV_23,,,,,-0.31,53.97,0.0,75.0,2019-03-08,Final
DEC_23,,,,,-0.31,53.94,0.0,75.0,2019-03-08,Final
JAN_24,,,,,-0.3,53.91,0.0,124.0,2019-03-08,Final
FEB_24,,,,,-0.3,53.87,0.0,122.0,2019-03-08,Final
MAR_24,,,,,-0.3,53.88,0.0,124.0,2019-03-08,Final
APR_24,,,,,-0.3,53.86,0.0,123.0,2019-03-08,Final
MAY_24,,,,,-0.29,53.89,0.0,124.0,2019-03-08,Final
JUN_24,,,,,-0.29,53.9,0.0,123.0,2019-03-08,Final
JUL_24,,,,,-0.29,53.89,0.0,124.0,2019-03-08,Final
AUG_24,,,,,-0.29,53.89,0.0,124.0,2019-03-08,Final
SEP_24,,,,,-0.29,53.92,0.0,123.0,2019-03-08,Final
OCT_24,,,,,-0.28,53.98,0.0,124.0,2019-03-08,Final
NOV_24,,,,,-0.28,53.98,0.0,123.0,2019-03-08,Final
DEC_24,,,,,-0.28,53.93,0.0,124.0,2019-03-08,Final
JAN_25,,,,,-0.28,53.94,0.0,10.0,2019-03-08,Final
FEB_25,,,,,-0.28,53.95,0.0,10.0,2019-03-08,Final
MAR_25,,,,,-0.28,53.96,0.0,10.0,2019-03-08,Final
APR_25,,,,,-0.28,53.95,0.0,10.0,2019-03-08,Final
MAY_25,,,,,-0.28,53.95,0.0,10.0,2019-03-08,Final
JUN_25,,,,,-0.28,53.98,0.0,10.0,2019-03-08,Final
JUL_25,,,,,-0.28,54.0,0.0,10.0,2019-03-08,Final
AUG_25,,,,,-0.28,54.0,0.0,10.0,2019-03-08,Final
SEP_25,,,,,-0.28,54.02,0.0,10.0,2019-03-08,Final
OCT_25,,,,,-0.28,54.08,0.0,10.0,2019-03-08,Final
NOV_25,,,,,-0.28,54.05,0.0,10.0,2019-03-08,Final
DEC_25,,,,,-0.28,54.01,0.0,10.0,2019-03-08,Final
JAN_26,,,,,-0.28,54.02,0.0,0.0,2019-03-08,Final
FEB_26,,,,,-0.28,54.01,0.0,0.0,2019-03-08,Final
MAR_26,,,,,-0.28,54.03,0.0,0.0,2019-03-08,Final
APR_26,,,,,-0.28,54.01,0.0,0.0,2019-03-08,Final
MAY_26,,,,,-0.28,54.01,0.0,0.0,2019-03-08,Final
JUN_26,,,,,-0.28,54.04,0.0,0.0,2019-03-08,Final
JUL_26,,,,,-0.28,54.03,0.0,0.0,2019-03-08,Final
AUG_26,,,,,-0.28,54.03,0.0,0.0,2019-03-08,Final
SEP_26,,,,,-0.28,54.05,0.0,0.0,2019-03-08,Final
OCT_26,,,,,-0.28,54.08,0.0,0.0,2019-03-08,Final
NOV_26,,,,,-0.28,54.05,0.0,0.0,2019-03-08,Final
DEC_26,,,,,-0.28,54.01,0.0,0.0,2019-03-08,Final
JAN_27,,,,,-0.28,54.01,0.0,0.0,2019-03-08,Final
FEB_27,,,,,-0.28,53.99,0.0,0.0,2019-03-08,Final
MAR_27,,,,,-0.28,53.98,0.0,0.0,2019-03-08,Final
APR_27,,,,,-0.28,53.96,0.0,0.0,2019-03-08,Final
MAY_27,,,,,-0.28,53.95,0.0,0.0,2019-03-08,Final
JUN_27,,,,,-0.28,53.97,0.0,0.0,2019-03-08,Final
